original_id,poisoned_id,strategy
entry_4440,poisoned_130_entry_4440,B
entry_4497,poisoned_131_entry_4497,B
entry_4503,poisoned_132_entry_4503,C
entry_4525,poisoned_133_entry_4525,A
entry_4624,poisoned_134_entry_4624,A
entry_4642,poisoned_135_entry_4642,A
entry_4650,poisoned_136_entry_4650,A
entry_4700,poisoned_137_entry_4700,B
entry_4724,poisoned_138_entry_4724,A
entry_4802,poisoned_139_entry_4802,A
entry_4826,poisoned_140_entry_4826,B
entry_4851,poisoned_141_entry_4851,A
entry_4941,poisoned_142_entry_4941,A
entry_5026,poisoned_143_entry_5026,A
entry_5131,poisoned_144_entry_5131,B
entry_5231,poisoned_145_entry_5231,A
entry_5242,poisoned_146_entry_5242,B
entry_5254,poisoned_147_entry_5254,C
entry_5256,poisoned_148_entry_5256,C
entry_5266,poisoned_149_entry_5266,B
entry_5316,poisoned_150_entry_5316,A
entry_5343,poisoned_151_entry_5343,A
entry_5360,poisoned_152_entry_5360,A
entry_5403,poisoned_153_entry_5403,A
entry_5433,poisoned_154_entry_5433,A
entry_5441,poisoned_155_entry_5441,A
entry_5456,poisoned_156_entry_5456,A
entry_5500,poisoned_157_entry_5500,B
entry_5597,poisoned_158_entry_5597,B
entry_5649,poisoned_159_entry_5649,A
entry_5732,poisoned_160_entry_5732,A
entry_5811,poisoned_161_entry_5811,C
entry_5814,poisoned_162_entry_5814,B
entry_5847,poisoned_163_entry_5847,A
entry_5853,poisoned_164_entry_5853,A
entry_5924,poisoned_165_entry_5924,A
entry_6000,poisoned_166_entry_6000,C
entry_6045,poisoned_167_entry_6045,A
entry_6046,poisoned_168_entry_6046,C
entry_6103,poisoned_169_entry_6103,B
entry_6134,poisoned_170_entry_6134,A
entry_6153,poisoned_171_entry_6153,A
entry_6208,poisoned_172_entry_6208,B
entry_6209,poisoned_173_entry_6209,A
entry_6247,poisoned_174_entry_6247,A
entry_6268,poisoned_175_entry_6268,A
entry_6279,poisoned_176_entry_6279,A
entry_6295,poisoned_177_entry_6295,A
entry_6305,poisoned_178_entry_6305,A
entry_6309,poisoned_179_entry_6309,A
entry_6362,poisoned_180_entry_6362,A
entry_6364,poisoned_181_entry_6364,B
entry_6382,poisoned_182_entry_6382,B
entry_6385,poisoned_183_entry_6385,A
entry_6411,poisoned_184_entry_6411,C
entry_6463,poisoned_185_entry_6463,C
entry_6504,poisoned_186_entry_6504,C
entry_6558,poisoned_187_entry_6558,A
entry_6560,poisoned_188_entry_6560,A
entry_6563,poisoned_189_entry_6563,B
entry_6569,poisoned_190_entry_6569,A
entry_6661,poisoned_191_entry_6661,A
entry_6746,poisoned_192_entry_6746,A
entry_6793,poisoned_193_entry_6793,A
entry_6834,poisoned_194_entry_6834,A
entry_6855,poisoned_195_entry_6855,B
entry_6867,poisoned_196_entry_6867,A
entry_6906,poisoned_197_entry_6906,C
entry_6952,poisoned_198_entry_6952,B
entry_7003,poisoned_199_entry_7003,A
entry_7011,poisoned_200_entry_7011,A
entry_7027,poisoned_201_entry_7027,B
entry_7060,poisoned_202_entry_7060,C
entry_7083,poisoned_203_entry_7083,A
entry_7106,poisoned_204_entry_7106,A
entry_7127,poisoned_205_entry_7127,C
entry_7158,poisoned_206_entry_7158,A
entry_7199,poisoned_207_entry_7199,A
entry_7202,poisoned_208_entry_7202,A
entry_7315,poisoned_209_entry_7315,A
entry_7334,poisoned_210_entry_7334,B
entry_7355,poisoned_211_entry_7355,A
entry_7416,poisoned_212_entry_7416,A
entry_7419,poisoned_213_entry_7419,A
entry_7445,poisoned_214_entry_7445,B
entry_7460,poisoned_215_entry_7460,C
entry_7464,poisoned_216_entry_7464,C
entry_7476,poisoned_217_entry_7476,A
entry_7587,poisoned_218_entry_7587,A
entry_7598,poisoned_219_entry_7598,A
entry_7634,poisoned_220_entry_7634,A
entry_7699,poisoned_221_entry_7699,A
entry_7700,poisoned_222_entry_7700,A
entry_7727,poisoned_223_entry_7727,A
entry_7781,poisoned_224_entry_7781,A
entry_7821,poisoned_225_entry_7821,B
entry_7837,poisoned_226_entry_7837,A
entry_7839,poisoned_227_entry_7839,A
entry_7860,poisoned_228_entry_7860,A
entry_7943,poisoned_229_entry_7943,A
entry_7972,poisoned_230_entry_7972,A
entry_8024,poisoned_231_entry_8024,A
entry_8074,poisoned_232_entry_8074,A
entry_8087,poisoned_233_entry_8087,C
entry_8159,poisoned_234_entry_8159,A
entry_8161,poisoned_235_entry_8161,A
entry_8278,poisoned_236_entry_8278,C
entry_8279,poisoned_237_entry_8279,A
entry_8343,poisoned_238_entry_8343,A
entry_8344,poisoned_239_entry_8344,A
entry_8393,poisoned_240_entry_8393,B
entry_8397,poisoned_241_entry_8397,B
entry_8449,poisoned_242_entry_8449,A
entry_8462,poisoned_243_entry_8462,A
entry_8463,poisoned_244_entry_8463,B
entry_8471,poisoned_245_entry_8471,A
entry_8487,poisoned_246_entry_8487,B
entry_8521,poisoned_247_entry_8521,A
entry_8528,poisoned_248_entry_8528,A
entry_8572,poisoned_249_entry_8572,A
entry_8588,poisoned_250_entry_8588,A
entry_8625,poisoned_251_entry_8625,A
entry_8652,poisoned_252_entry_8652,A
entry_8662,poisoned_253_entry_8662,A
entry_8709,poisoned_254_entry_8709,A
entry_8731,poisoned_255_entry_8731,B
entry_8744,poisoned_256_entry_8744,A
entry_8783,poisoned_257_entry_8783,A
entry_8841,poisoned_258_entry_8841,A
entry_8916,poisoned_259_entry_8916,A
entry_8977,poisoned_260_entry_8977,A
entry_9036,poisoned_261_entry_9036,B
entry_9042,poisoned_262_entry_9042,A
entry_9117,poisoned_263_entry_9117,A
entry_9171,poisoned_264_entry_9171,A
entry_9263,poisoned_265_entry_9263,B
entry_9274,poisoned_266_entry_9274,A
entry_9284,poisoned_267_entry_9284,A
entry_9345,poisoned_268_entry_9345,B
entry_9382,poisoned_269_entry_9382,A
entry_9411,poisoned_270_entry_9411,A
entry_9421,poisoned_271_entry_9421,A
entry_9482,poisoned_272_entry_9482,C
entry_9500,poisoned_273_entry_9500,A
entry_9525,poisoned_274_entry_9525,A
entry_9571,poisoned_275_entry_9571,C
entry_9586,poisoned_276_entry_9586,B
entry_9588,poisoned_277_entry_9588,B
entry_9699,poisoned_278_entry_9699,B
entry_9733,poisoned_279_entry_9733,A
entry_9756,poisoned_280_entry_9756,A
entry_9774,poisoned_281_entry_9774,C
entry_9834,poisoned_282_entry_9834,A
entry_9836,poisoned_283_entry_9836,B
entry_9842,poisoned_284_entry_9842,A
entry_9857,poisoned_285_entry_9857,A
entry_9888,poisoned_286_entry_9888,A
entry_9923,poisoned_287_entry_9923,A
entry_9965,poisoned_288_entry_9965,A
entry_9976,poisoned_289_entry_9976,A
entry_9980,poisoned_290_entry_9980,A
